BinBase name,F_PAC_16_016,F_PAC_17_017,F_PAC_18_018,normF_PAC_16_016,normF_PAC_17_017,normF_PAC_18_018
402069,400,221,240,6.177327029206371e-6,3.461184964080026e-6,3.6822128773796415e-6
401267,69779,45677,11031,0.0010776192569274784,7.153689846347663e-4,1.6924370937656177e-4
401125,1079,1109,785,1.6663339661284185e-5,1.7368570702102936e-5,1.2043904619762577e-5
401121,215,187,108,3.3203132781984246e-6,2.928694969606176e-6,1.6569957948208386e-6
399830,296,267,301,4.571222001612715e-6,4.181612603662294e-6,4.6181086503803006e-6
395982,8531,5826,6313,1.3174694221539888e-4,9.12437267001368e-5,9.685754122874032e-5
395904,4578,1773,505,7.069950784926692e-5,2.7767787064768716e-5,7.747989596152995e-6
393358,14829,12495,12420,2.290089562902532e-4,0.00019569007296913995,1.9055451640439646e-4
391872,2822,2899,3191,4.358104219105095e-5,4.5402602764108574e-5,4.895808871549348e-5
391843,1948,1453,3327,3.008358263223503e-5,2.2756116528544244e-5,5.104467601267528e-5
391842,3628,5888,3659,5.602835615490179e-5,9.221473786653028e-5,5.613840382638379e-5
390218,47542,36804,31333,7.342062040563232e-4,5.764047575475171e-4,4.80728233695568e-4
390208,6384,3344,5825,9.859013938613369e-5,5.2371957103545734e-5,8.937037504473505e-5
390198,258,351,328,3.98437593383811e-6,5.4971761194212176e-6,5.03235759908551e-6
390194,1042,1673,606,1.6091936911082597e-5,2.6201640022198568e-5,9.297587515383595e-6
390185,4840,760,533,7.474565705339709e-5,1.1902717523533121e-5,8.177581098513954e-6
390140,167246,189232,180263,0.002582833090816622,0.0029636513715963417,0.002765694749646193
390135,4387,3756,1945,6.774983419282088e-5,5.882448291893474e-5,2.9841266860430846e-5
390126,14473,16882,17245,2.2351113523425952e-4,2.643969437266923e-4,2.64582337793383e-4
390122,135240,117856,166394,0.002088554268574674,0.001845798258491473,0.002552908872994617
390121,9789493,7216110,1649640,0.15118224927781643,0.11301489335360868,0.025309690212668965
389994,85607,0,13163,0.0013220560874731746,0,2.0195403377061758e-4
389988,14301,13058,14215,2.208548846117008e-4,2.0450748081880986e-4,2.1809440021646503e-4
387768,131,45,72,2.0230746020650866e-6,7.047661691565664e-7,1.1046638632138924e-6
386842,3192,2410,222,4.9295069693066844e-5,3.7744143725940556e-5,3.4060469115761684e-6
386187,170,214,206,2.6253639874127077e-6,3.3515546711001157e-6,3.1605660530841924e-6
385941,31182,27268,28889,4.815535285617827e-4,4.270569755680278e-4,4.4323103256091863e-4
384976,1333,741,792,2.058594232483023e-5,1.1605149585444793e-5,1.2151302495352817e-5
384941,661,654,424,1.0208032915763529e-5,1.0242601658408764e-5,6.505242750037367e-6
384919,75,102,84,1.1582488179761946e-6,1.5974699834215505e-6,1.2887745070828746e-6
384908,3085,3138,2996,4.764263471275414e-5,4.914569419585123e-5,4.5966290752622526e-5
384907,348,425,415,5.374274515409543e-6,6.656124930923127e-6,6.36715976713563e-6
384906,10890,12248,6467,1.6817772837014345e-4,1.9182168977399167e-4,9.922029449172559e-5
384897,1042,1100,1108,1.6091936911082597e-5,1.7227617468271622e-5,1.6999549450569347e-5
384838,580,171,623,8.95712419234924e-6,2.6781114427949523e-6,9.55841092753132e-6
382960,8785,5728,813,1.3566954487894493e-4,8.970890259841805e-5,1.2473496122123536e-5
382944,581,1251,656,8.972567509922255e-6,1.9592499502552545e-5,1.006471519817102e-5
382905,358,403,390,5.528707691139702e-6,6.311572581557694e-6,5.983595925741918e-6
382601,430,387,306,6.640626556396849e-6,6.060989054746471e-6,4.694821418659043e-6
381214,1127,983,1098,1.740461890478895e-5,1.5395225428464552e-5,1.684612391401186e-5
380761,352,561,234,5.436047785701607e-6,8.786084908818527e-6,3.5901575554451504e-6
380017,10902,10363,12361,1.6836304818101965e-4,1.6229981802154438e-4,1.896493057387073e-4
379842,219,201,235,3.382086548490488e-6,3.1479555555659967e-6,3.605500109100899e-6
379014,6002,6572,6019,9.26907920732416e-5,1.029271836377101e-4,9.234683045395026e-5
378986,2167,1316,1017,3.3465669180725513e-5,2.0610495080223143e-5,1.560337706789623e-5
378843,264,257,228,4.077035839276205e-6,4.0249978994052795e-6,3.4981022335106596e-6
