BinBase name,F_PACT_22_022,F_PACT_23_023,F_PACT_24_024,normF_PACT_22_022,normF_PACT_23_023,normF_PACT_24_024
14712,15424,15276,18238,1.975678860369409e-4,1.9619559328977164e-4,2.3332916945204056e-4
14709,6946,5826,6222,8.897215614708192e-5,7.482557780218707e-5,7.960160611528657e-5
14703,16935,6507,16062,2.169224682336355e-4,8.357192495002253e-5,2.0549035638439935e-4
14702,19593,15756,16767,2.509691124949289e-4,2.02360419473268e-4,2.1450982477258274e-4
14696,4988,4080,4492,6.389189675520365e-5,5.2401022559719055e-5,5.746872624073726e-5
14694,2994,1978,1819,3.835050899861262e-5,2.5404221231157914e-5,2.327150779873132e-5
14689,70189,82578,64992,8.990594108562529e-4,0.001060581284543255,8.314798432408718e-4
13146,102,93,112,1.3065303666862014e-6,1.1944350730524197e-6,1.4328800843638854e-6
13139,4604,3833,4495,5.8973194198267364e-5,4.9228705752794886e-5,5.750710695728272e-5
10176,4735,2485,3789,6.065118908097219e-5,3.1915818887475944e-5,4.8474844996917513e-005
6485,11368,9431,10087,1.4561409027930136e-4,1.2112599111782119e-4,1.2904876259802242e-4
6435,2064,1616,1567,2.6438026243532548e-5,2.0754914817771078e-5,2.0047527608912576e-5
6422,12412,9431,10595,1.589868128559719e-4,1.2112599111782119e-4,1.355478972663872e-4
6404,23450,16028,15676,3.003738931254061e-4,2.0585382097724927e-4,2.0055203752221667e-4
5837,40901,52199,38037,5.239058679199248e-4,6.704120040673468e-4,4.8662910507990277e-4
5244,118097,147243,135553,0.0015127187913190228,0.0018910989619511551,0.0017342070899623015
4983,631,368,444,8.082555503715618e-6,4.726366740680542e-6,5.68034604872826e-6
4862,112354,18894,83394,0.0014391560080260928,2.4266297064787546e-4,0.0010669071585307308
4852,226,169,156,2.8948614006968775e-6,2.17053255210601e-6,1.9957972603639834e-6
4850,5287,3655,4612,6.772182400656811e-5,4.6942582709748325e-5,5.9003954902555713e-005
4849,1243,1272,2019,1.5921737703832827e-5,1.6336789386265353e-5,2.58302222350954e-5
4801,1419,1038,1528,1.8176143042428627e-5,1.3331436621810877e-5,1.9548578293821578e-5
4795,2840,2830,2655,3.63779043273413e-5,3.6346787706863957e-005,3.396693414273318e-5
4766,19708,13952,70027,2.5244216143776135e-4,1.7919094773362752e-4,8.958954791763376e-4
4755,3115,2818,2860,3.990041266889723e-5,3.619266705227654e-5,3.658961644000636e-5
4744,4768,3827,3552,6.10738900819589e-5,4.915164542550118e-5,4.544276838982608e-5
4735,6445,4184,5212,8.25547864048291e-5,5.37367348994766e-5,6.668009821164795e-5
4732,2081,1868,1906,2.6655781304646914e-5,2.3991448564106667e-5,2.4384548578549695e-5
4729,43972,34856,36837,5.63242679254173e-4,4.47669128024894e-4,4.712768184617183e-4
4723,545,657,800,6.9809710769017626e-6,8.438105838660642e-6,1.0234857745456324e-5
4721,1061,852,795,1.35904776377849e-5,1.0942566475706039e-5,1.0170889884547223e-5
4716,8554,9115,9620,1.0956922310425262e-4,1.1706748054701941e-4,1.230741643891123e-4
4713,10046,8053,8911,1.2868043199734883e-4,1.0342780261603372e-4,1.1400352171220164e-4
4709,1455,1221,1116,1.86372714071414e-5,1.5681776604268863e-5,1.4277626554911573e-5
4708,115,157,82,1.473048942832482e-6,2.016411897518601e-6,1.0490729189092732e-6
4707,804,802,659,1.0298533478585352e-5,1.0300397081591833e-5,8.430964067819647e-6
4550,186,416,203,2.3824965510160144e-6,5.342849359030178e-6,2.597095152909542e-6
4546,2184,1144,1801,2.7975120792575136e-5,1.469283573733299e-5,2.304122349945855e-5
4541,78493,61751,138956,0.0010054263536500001,7.930920451189243e-4,0.0017777436160970363
3772,832,875,687,1.0657188873361957e-5,1.1237964396998572e-5,8.78918408891062e-6
3365,790,604,616,1.011920578119705e-5,7.757406280899586e-6,7.880840464001369e-6
3246,164,180,309,2.1006958836915394e-6,2.3118098188111347e-6,3.953213804182505e-6
3229,4317,3826,3709,5.529697640180717e-5,4.91388020376189e-5,4.7451359222371884e-5
3204,2388,1460,1319,3.058818152594754e-5,1.875134630813476e-5,1.6874721707821114e-5
3194,4688,4017,14803,6.004916038259718e-5,5.159188912313516e-5,1.8938324900748745e-4
3182,13379,9635,11136,1.7137323309700676e-4,1.2374604224580713e-4,1.4246921981675203e-4
3178,6867,5586,4330,8.796023556896221e-5,7.174316471043889e-5,5.539616754728236e-5
3175,18370,12883,16297,2.3530355721593647e-4,1.6546136608746584e-4,2.0849684584712714e-4
3166,3796,3198,3493,4.8623424234713926e-5,4.1073154447544494e-5,4.4687947631098673e-5
3161,5979,17237,19452,7.658573590604704e-5,2.2138147692693074e-4,2.4886056608077053e-4
2821,1045,940,1197,1.3385531697912554e-5,1.2072784609347037e-5,1.5313905901639026e-5
2394,8970,6623,7364,1.148978175409336e-4,8.506175794436748e-5,9.421186554692547e-5
2018,1065,1050,1030,1.3641714122752986e-5,1.3485557276398286e-5,1.3177379347275017e-5
2017,397,407,397,5.085221133082568e-6,5.227258868089621e-6,5.079048156182701e-6
1981,2796,1058,2720,3.5814302992692344e-5,1.358830437945656e-5,3.4798516334551505e-5
1970,1883,50411,1397,2.411957529872664e-5,6.474480265338229e-4,1.7872620338003107e-5
1967,931,786,557,1.1925291876322094e-5,1.0094902875475288e-5,7.126019705273966e-6
1846,838,580,665,1.0734043600814087e-5,7.449164971724768e-6,8.50772550091057e-6
1771,283,305,682,3.624981311492108e-6,3.917233304096645e-6,8.725216228001516e-6
1753,6673,5074,4816,8.547526604801002e-5,6.516735011470944e-5,6.161384362764708e-5
1746,483,313,337,6.1868055598964244e-6,4.0199804071549175e-6,4.3114338252734766e-6
1744,18544,12857,14402,0.00023753234431204823,1.6512743800252644e-4,1.8425302656257747e-4
1717,275,247,231,3.522508341555935e-6,3.1723168069241683e-6,2.955315174000514e-6
1715,6208,5372,7215,7.951902467046998e-5,6.899467970363009e-5,9.230562329183422e-5
1704,12396,3805,25168,1.5878186691609954e-4,4.8869090892090935e-5,3.21988624672056e-4
1684,7630,5699,6137,9.773359507662468e-5,7.319446754113698e-5,7.851415247983184e-5
892,3229,2936,2320,4.136065249048769e-5,3.7708186822386065e-5,2.968108746182334e-5
592,998,1056,1592,1.2783502999537539e-5,1.356261760369199e-5,2.0367366913458085e-5
309,309,336,731,3.958018463784669e-6,4.3153783284474515e-6,9.352101264910717e-6
303,428,329,434,5.482303891585238e-6,4.225474613271463e-6,5.552410326910056e-6
168,2069,4674,7168,2.6502071849742655e-5,6.0029994961795805e-5,9.170432539928867e-5
136,90,66,103,1.1528209117819424e-6,8.476636002307494e-7,1.3177379347275018e-6
134,2029,10697,6854,2.598970700006179e-5,1.3738572017679283e-4,8.768714373419706e-5
68,171807,203872,181965,0.002200696693228002,0.0026184071743370206,0.00232798236206495
