BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
arbutin,851,874,816,8.674295935888493e-6,9.576241664369208e-6,8.1778990494284745e-006
arachidic acid,25718,13080,23716,2.621451737710696e-4,1.4331492101824858e-4,2.3768021305912464e-4
arabitol,364101,338570,441173,0.0037113041416603244,0.003709643181127555,0.00442140717810479
alpha-ketoglutarate,23334,25019,23497,2.3784491347593665e-4,2.741281352412508e-4,2.354854092701236e-4
alanine,442713,541605,248780,0.004512601147667453,0.005934256712392089,0.0024932570165647253
adipic acid,9346,10989,10271,9.52643593617084e-5,1.2040425589216617e-4,1.0293529551063708e-4
adenosine,1975,2691,2499,2.013129785356025e-5,2.9484744071873615e-5,2.5044815838874704e-5
adenine,55030,39902,45243,5.609242131045168e-4,4.37198163491602e-4,4.5342241016334864e-4
aconitic acid,9022,23525,19157,9.19618072075041e-5,2.577586786662307e-4,1.9199021089448686e-4
6-deoxyhexitol NIST,301,6788,5634,3.0681117235046256e-6,7.437474647338465e-5,5.646358240745101e-5
6-deoxyglucose,623480,675953,637859,0.0063551704231583515,0.0074062806427406865,0.00639258150707034
6-deoxyglucitol,44122,8545,43270,4.497382905796382e-4,9.362584098630994e-5,4.3364913219212024e-4
5-methyluridine NIST,1074,233,964,1.0947348807455042e-5,2.55293399061559e-6,9.661145445648345e-6
5-hydroxynorvaline NIST,2732,5684,2210,2.7847445942241318e-5,6.22784412131288e-5,2.214847659220212e-5
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,50832,49395,51841,5.181337379707214e-4,5.412110492122621e-4,5.19547138016448e-4
5'-deoxy-5'-methylthioadenosine,2584,1766,2328,2.6338872735999843e-5,1.9349705697112153e-5,2.3331064935134178e-5
4-hydroxymandelic acid,779,952,1081,7.940395457176424e-6,1.0430871927322066e-5,1.083371185347081e-5
4-hydroxybutyric acid,1695,2869,2593,1.7277240436346645e-5,3.143505415912501e-5,2.5986877739176512e-5
4-hydroxybenzoic acid,43651,27504,42330,4.449373582813967e-4,3.013557788750695e-4,4.242285131891021e-4
4-aminobutyric acid,65401,73161,73051,6.666364612256679e-4,8.016103162550522e-4,7.321123816909307e-4
