BinBase name,F_SAT_4_004,F_SAT_5_005,F_SAT_6_006,normF_SAT_4_004,normF_SAT_5_005,normF_SAT_6_006
2-isopropylmalic acid,18624,12803,13884,1.8079744721460097e-4,1.20741119421351e-4,1.1504509143636208e-4
2-hydroxyglutaric acid,27061,20422,22686,2.6270187495029625e-4,1.9259354376496368e-4,1.8797990091654496e-4
2-deoxytetronic acid,1154,570,1244,1.1202762783808502e-5,5.375493093038355e-6,1.030798716125284e-5
2-deoxyerythritol,34110,18727,87514,3.31131922491948e-4,1.7660852483040226e-4,7.251552961654992e-4
"2,3-dihydroxypyridine",2446,2524,2947,2.374519737365303e-5,2.3803060643559316e-5,2.4419323283128713e-5
"2,3-dihydroxybutanoic acid NIST",1414,972,1272,1.3726782128514056e-5,9.166630327075933e-6,1.0539999734014157e-5
1-monostearin,4221,1301,3706,4.0976483284623646e-5,1.2269327217619124e-5,3.070852123762301e-5
1-monopalmitin,1000,720,896,9.70776671040598e-6,6.790096538574765e-6,7.424402328362174e-6
1-methylinosine NIST,2046,2103,2262,1.9862090689490637e-5,1.9832740306420457e-5,1.8743301413789327e-5
1-methyladenosine,6631,6039,5912,6.437220105670206e-5,5.695193471729584e-5,4.89877975058897e-5
1-kestose,522,559,559,5.067454222831921e-6,5.271755507032352e-6,4.631965291913454e-6
1-deoxyerythritol,56124,46102,52940,5.448386988548252e-4,4.3477365364079693e-4,4.3866948578514896e-4
519282,5486,5678,3221,5.325680817328721e-5,5.354745575837155e-5,2.6689732030864468e-5
519270,12497,14003,17447,1.2131796057994354e-4,1.3205794698564226e-4,1.445686913202398e-4
519264,13592,22754,24147,1.319479651278381e-4,2.145859119982364e-4,2.00085985516698e-4
519261,43008,32379,36992,4.175116306811404e-4,3.053562997534893e-4,3.065217532709526e-4
519249,41169,34407,34266,3.996590477007038e-4,3.244817383371416e-4,2.839336720799757e-4
519244,146961,110347,36027,0.0014266631035279732,0.001040648309364041,2.9852560567400005e-4
513995,29516,16578,19622,2.8653444222434294e-4,1.5634197280068395e-4,1.6259109652580646e-4
513551,580,216,205,5.630504692035469e-6,2.0370289615724296e-6,1.6986634791453635e-6
511927,806,611,1205,7.82445996858722e-6,5.76215136815164e-6,9.984826792049576e-6
509528,106072,79147,89749,0.0010297222305061832,7.46410792692468e-4,7.436748711698401e-4
486482,2168,1534,447,2.1046438228160165e-5,1.4466677903019013e-5,3.703915000868183e-6
486432,3685,3837,5414,3.577312032784604e-5,3.618555613682135e-5,4.4861288176063405e-5
480022,1739,1527,1600,1.6881806309396e-5,1.4400663075560648e-5,1.3257861300646739e-5
475884,451,883,975,4.378202786393097e-6,8.327298949390996e-6,8.079009230081607e-6
475793,4972,12247,13306,4.8267016084138535e-5,1.1549765598322936e-4,1.1025568904150344e-4
474908,5098,5024,4372,4.9490194689649685e-5,4.73797847358328e-5,3.6227106004017214e-5
474901,23082,31045,28211,2.2407467120959083e-4,2.927757597778522e-4,2.3376095322034073e-4
472871,85027,204357,193276,8.254222800856893e-4,0.0019272274421298934,0.0016015165004648745
425117,5536,2601,3769,5.3742196508807505e-5,2.4529223745601336e-5,3.123054952633597e-5
418204,68695,50011,35216,6.668750341713389e-4,4.716382194314758e-4,2.918055272272347e-4
417918,5265,726,5714,5.111139173028749e-5,6.8466806763962215e-6,4.7347137169934664e-5
414322,545,376,436,5.290732857171259e-6,3.5459393034779326e-6,3.6127672044262363e-6
408463,146944,414611,627226,0.0014264980714938963,0.003910067661048642,0.005197297070099657
408457,4497,1567,1428,4.3655826896695696e-5,1.4777890661037023e-5,1.1832641210827215e-5
406896,8705,6326,7769,8.450610921408406e-5,5.965854264308883e-5,6.437520277795283e-5
404202,2588,4556,2320,2.512370024653068e-5,4.29662219857592e-5,1.9223898885937772e-5
403831,4239,3201,5156,4.115122308541095e-5,3.0187637527746975e-5,4.2723458041334114e-5
403585,1778,1650,2632,1.7260409211101833e-5,1.55606379009005e-5,2.1809181839563884e-5
403523,4492,4149,4483,4.360728806314366e-5,3.912793130353708e-5,3.7146870131749585e-5
402069,3288,2056,2024,3.191913694381487e-5,1.9389497893485718e-5,1.6771194545318124e-5
401267,101539,74227,56270,9.85716924007913e-4,7.000117996788737e-4,4.6626240961712e-4
401125,2334,1080,1493,2.2657927502087557e-5,1.0185144807862148e-5,1.2371241826165989e-5
401121,703,715,755,6.824559997415404e-6,6.742943090390218e-6,6.25605330124268e-6
399830,1809,1607,1601,1.756134997912442e-5,1.5155118246513399e-5,1.3266147463959644e-5
395982,6567,4910,6142,6.375090398723608e-5,4.630468611722513e-5,5.089361506785767e-5
395904,3624,11387,5885,3.518094655851127e-5,1.0738726289548729e-4,4.8764071096441284e-5
393358,5400,3820,4164,5.2421940236192294e-5,3.602523441299389e-5,3.450358403493314e-5
391872,8589,7319,8099,8.338000827567697e-5,6.902321745253987e-5,6.710963667121122e-5
391843,1184,950,1158,1.149399578512068e-5,8.959155155063925e-6,9.595377116343077e-6
391842,2789,4070,6475,2.707496135532228e-5,3.838290682222124e-5,5.365290745105477e-5
390218,44534,36891,35617,4.3232568268121994e-4,3.479075713952245e-4,2.9512827871570934e-4
390208,18759,41595,46214,1.8210799572050579e-4,3.922695354472463e-4,3.8293675134255524e-4
390198,2178,694,984,2.1143515895264226e-5,6.54489860801512e-6,8.153584699897745e-6
390194,2018,2287,3350,1.959027322159927e-5,2.1567987199611786e-5,2.775864709822911e-5
390185,1635,4458,4397,1.5872198571513778e-5,4.2042014401342086e-5,3.643426008683982e-5
390140,206314,224054,301415,0.0020028481810906995,0.0021129837359080976,0.002497573914959023
390135,6886,7274,7617,6.684768156785559e-5,6.859883641887894e-5,6.311570595439139e-5
390126,22454,23129,31927,2.1797819371545589e-4,2.181224206120774e-4,2.6455233609109277e-4
390122,19340,72126,95160,1.8774820817925165e-4,6.80197920751727e-4,7.885113008559648e-4
390121,20291722,25356870,34390702,0.19698730332841266,0.23913277113345874,0.2849669732174215
389994,6003,126496,147011,5.82757235625671e-5,0.001192944516310491,0.0012181571547933612
389988,6835,12010,5717,6.635258546562488e-5,1.1326258253928184e-4,4.737199565987338e-5
387768,1627,945,1388,1.579453643783053e-5,8.912001706879379e-6,1.1501194678311046e-5
