BinBase name,F_SAC_7_007,F_SAC_8_008,F_SAC_9_009,normF_SAC_7_007,normF_SAC_8_008,normF_SAC_9_009
5-hydroxynorvaline NIST,2030,4636,5340,2.0045261410303423e-5,4.468213748088431e-5,5.145498013963032e-5
5-Hydroxymethyl-2-furancarboxaldehyde HMDB,58952,54246,56637,5.821222909656195e-4,5.228272713088979e-4,5.457407696944274e-4
5'-deoxy-5'-methylthioadenosine,2287,2262,2487,2.2583011253873857e-5,2.1801336277342605e-5,2.3964145244805356e-5
4-hydroxymandelic acid,1078,766,1180,1.0644725024781819e-5,7.382769048826011e-6,1.1370201603888346e-5
4-hydroxybutyric acid,3036,2487,3069,2.9979021498365122e-5,2.396990420943902e-5,2.9572159934180795e-5
4-hydroxybenzoic acid,45209,46712,47211,4.4641685866916625e-4,4.5021397886261177e-4,4.549140575603159e-4
4-aminobutyric acid,80316,65669,75213,7.930813869112955e-4,6.329230557015082e-4,7.24734723079029e-4
3-phenyllactic acid,3900,3596,4073,3.851060073900658e-5,3.465853459474978e-5,3.924646706155698e-5
3-hydroxybutyric acid,133668,107951,23957,0.0013199064050209055,0.001040440341501066,2.3084399985114673e-4
3-hydroxy-3-methylglutaric acid,1903,2513,2545,1.879119825803321e-5,2.4220494281592383e-5,2.452301956092868e-5
3-dehydroshikimic acid,1617,1400,1659,1.5967087537172726e-5,1.3493311577488791e-5,1.5985732593941328e-5
"3,6-anhydro-D-galactose",227837,188526,220855,0.0022497794206597544,0.0018170286131840372,0.002128106673920984
"3,4-dihydroxycinnamic acid",5809,6153,8061,5.73610460750998e-5,5.930310438306324e-5,7.767389417707116e-5
"3,4-dihydroxybenzoic acid",67127,49591,66607,6.628464348223832e-4,4.7796201031374765e-4,6.418093374832128e-4
3-(4-hydroxyphenyl)propionic acid,2495,2333,2446,2.463690995995421e-5,2.2485639935915252e-5,2.356907891789059e-5
2-monoolein,26092,24808,27114,2.57645793456964e-4,2.3910148115310138e-4,2.612641070235836e-4
2-isopropylmalic acid,15707,12714,14956,1.550989758480965e-4,1.2253854528299465e-4,1.4411248744724926e-4
2-hydroxyglutaric acid,8599,8917,1762,8.49109373730045e-5,8.59427566689054e-5,1.6978216293263786e-5
2-deoxytetronic acid,3437,3078,3190,3.3938701215375796e-5,2.966600931107893e-5,3.0738087386782905e-5
2-deoxyerythritol,73913,38334,46968,7.298548801082547e-4,3.6946614715103955e-4,4.5257256689104056e-4
"2,3-dihydroxypyridine",2098,2059,1598,2.0716728294983538e-5,1.984480609860673e-5,1.5397950985604726e-5
"2,3-dihydroxybutanoic acid NIST",1048,979,1351,1.0348489634481768e-5,9.435680024543949e-6,1.3017917260045048e-5
1-monostearin,4793,6440,2909,4.7328540856938085e-5,6.206923325644845e-5,2.8030437682806103e-5
1-monopalmitin,1230,1734,1348,1.2145651002302075e-5,1.6712430196689688e-5,1.2989009967831772e-5
1-methylinosine NIST,2973,2056,2696,2.9356927178735015e-5,1.981589185951211e-5,2.5978019935663544e-5
1-methyladenosine,8054,6842,7810,7.952932778255359e-5,6.594374129512736e-5,7.525531739522711e-5
1-kestose,476,482,504,4.700268192760803e-6,4.645554414535427e-6,4.856425091830277e-6
1-deoxyerythritol,50999,45143,49582,5.03590288997076e-4,4.350918318161261e-4,4.777604541728746e-4
519282,5215,3584,5966,5.14955853471588e-5,3.454287763837131e-5,5.748696844813379e-5
519270,9097,9153,9312,8.982844485198535e-5,8.821734347768209e-5,8.972823503000702e-5
519264,14711,1582,5017,1.4526396089013482e-4,1.5247442082562335e-5,4.834262834466766e-5
519261,19085,16184,19543,1.884550807958822e-4,1.5598268183577045e-4,1.8831173724134743e-4
519249,12782,12790,12083,1.2621602529384155e-4,1.2327103934005833e-4,1.1642893727100246e-4
519244,93074,87740,90663,9.19060423892897e-4,8.45645112720619e-4,8.736072779773976e-4
513995,24259,15839,25460,2.3954581110963093e-4,1.5265754433988927e-4,2.453265532499977e-4
