BinBase name,F_SF_10_010,F_SF_11_011,F_SF_12_012,normF_SF_10_010,normF_SF_11_011,normF_SF_12_012
480022,1432,1693,1423,1.4088421293224202e-5,2.0080224827353655e-5,1.4649904800841751e-5
475884,2113,770,698,2.0788292033926492e-5,9.132766164833027e-6,7.1859687638703736e-6
475793,14298,19249,6642,1.4066777070567013e-4,2.2830729338554667e-4,6.837994918284673e-5
474908,3983,4997,2308,3.918588129253631e-5,5.926809418918264e-5,2.3761054308041295e-5
474901,26595,29423,17886,2.6164913707632515e-4,3.4897841411413264e-4,1.841378758031311e-4
472871,160633,184769,131874,0.0015803529173145832,0.002191496196766277,0.0013576539323304322
425117,1245,3689,3646,1.224866236736322e-5,4.37542524442455e-5,3.753587695282433e-5
418204,36808,43865,22859,3.6212752162080754e-4,5.202711530135075e-4,2.353353294746603e-4
417918,3569,1193,843,3.5112832119774566e-5,1.414985718785169e-5,8.67875597126465e-6
414322,463,352,372,4.555125041035478e-6,4.174978818209384e-6,3.829771318280486e-6
408463,266537,606528,172336,0.0026222664428995103,0.0071938680473036965,0.0017742136287827576
408457,3551,1788,2766,3.4935743025306664e-5,2.1206994678859027e-5,2.847620286656942e-5
406896,6592,7189,5960,6.48539617073561e-5,8.526682592075925e-5,6.135870176599918e-5
404202,10647,4395,7878,1.0474819937776402e-4,5.212793155122227e-5,8.110467324035932e-5
403831,4020,4560,2582,3.954989776449811e-5,5.4084952872257924e-5,2.6581907375807027e-5
403585,2627,1903,1555,2.5845169509287694e-5,2.257097923594448e-5,1.600885591377999e-5
403523,3341,3766,2837,3.286970358984781e-5,4.4667529060728805e-5,2.9207153843983166e-5
402069,2370,2362,1720,2.3316730771607095e-5,2.8015056729007283e-5,1.7707544804952784e-5
401267,62383,70184,37812,6.137416100106183e-4,8.324338448216119e-4,3.892777233516713e-4
401125,1267,1457,940,1.24651045939351e-5,1.7281091301508728e-5,9.677379137590474e-6
401121,842,730,768,8.283834307887415e-6,8.658336753672869e-6,7.906624657095196e-6
399830,1404,1518,1268,1.3812949368496354e-5,1.8004596153527967e-5,1.3054166751558216e-5
395982,6157,5791,4436,6.0574308591048466e-5,6.868551800071177e-5,4.56689934620759e-5
395904,3958,9549,2637,3.893992421688645e-5,1.1325816117920854e-4,2.714813700619796e-5
393358,3484,3242,3018,3.427657806256503e-5,3.845250377453074e-5,3.107056408217878e-5
391872,6389,4650,5757,6.285679025307921e-5,5.515241904736828e-5,5.9268799675647196e-5
391843,1260,1011,857,1.2396236612753138e-5,1.1991203367072974e-5,8.822887149909613e-6
391842,5273,3083,4594,5.1877266396069285e-5,3.656664686516912e-5,4.7295616763926213e-5
390218,32267,36407,26280,3.174518783997663e-4,4.318137893026961e-4,2.7055481248497627e-4
390208,13980,41980,11694,1.3753919670340386e-4,4.97913667012585e-4,1.2039071450530108e-4
390198,1297,891,1178,1.2760253084714937e-5,1.0567915133592502e-5,1.2127609174554871e-5
390194,1082,3094,1056,1.0645022234126108e-5,3.669711495323816e-5,1.0871608903505896e-5
390185,662,3934,774,6.5129433632083945e-6,4.6660132587601465e-5,7.968395162228752e-6
390140,258864,241138,209368,0.0025467772972410543,0.0028600739837084496,0.0021554611864670666
390135,10983,5581,2077,1.0805386247449818e-4,6.619476359212094e-5,2.138288986039938e-5
390126,25679,22903,19953,2.5263726982451413e-4,2.71646420095027e-4,2.054178148216412e-4
390122,89176,85419,68432,8.773387271260903e-4,0.0010131321467972368,7.045132012165866e-4
390121,21792098,1907811,22806580,0.21439682785420988,0.022628041233371768,0.2347956611614768
389994,0,116387,0,0,0.0013804353969174305,0
389988,12198,12356,9480,1.2000737635108157e-4,1.4655124510737258e-4,9.759739811101884e-5
387768,1043,1324,998,1.0261329196112319e-5,1.5703613509401205e-5,1.0274494020548186e-5
386842,96,127,98,9.444751704954772e-7,1.506313380433499e-6,1.0089182505147516e-6
386187,300,265,181,2.9514849077983663e-6,3.1430948489360417e-6,1.8634102381956126e-6
385941,30610,26560,16971,3.011498434256933e-4,3.150211290103444e-4,1.7471787377026379e-4
384976,7176,6942,5097,7.059951899453691e-5,8.233722430684528e-5,5.247404411095601e-5
384941,10357,10374,7816,1.018950973002256e-4,1.2304326778438677e-4,8.046637802064591e-5
384919,481,453,326,4.73221413550338e-6,5.372913081388781e-6,3.3561974455898882e-6
384908,2954,3015,2363,2.9062288058787914e-5,3.576011686619685e-5,2.4327283938432227e-5
384907,499,373,336,4.909303229971283e-6,4.4240542590684664e-6,3.4591482874791483e-6
384906,33362,32689,25011,3.282247983132303e-4,3.877155755353595e-4,2.5749035064922914e-4
384897,465,497,487,4.574801607087467e-6,5.894785433664954e-6,5.01370600000698e-6
384838,499,570,843,4.909303229971283e-6,6.7606191090322405e-6,8.67875597126465e-6
382960,37660,40182,32730,3.7050973875895493e-4,4.7658806498093595e-4,3.369581055035492e-4
382944,2258,181,181,2.2214843072695702e-5,2.1467930854997115e-6,1.8634102381956126e-6
382905,3321,3525,2836,3.2672937929327915e-5,4.180909185848886e-5,2.9196858759794242e-5
382601,4352,3722,2315,4.2816207729128296e-5,4.414565670845263e-5,2.3833119897363776e-5
381214,7831,6730,5400,7.704359437656335e-5,7.982274842769645e-5,5.5593454620200604e-5
380761,1010,851,824,9.9366658562545e-6,1.0093485722432346e-5,8.483149371675055e-6
380017,31967,23353,17247,3.145003934919679e-4,2.769837509705788e-4,1.7755931700640736e-4
379842,1977,1652,1122,1.9450285542391234e-5,1.9593934680914494e-5,1.1551084459975014e-5
379014,2046,1789,1350,2.0129127071184856e-5,2.121885541413803e-5,1.3898363655050151e-5
378986,4373,5077,3421,4.3022811672674184e-5,6.021695301150296e-5,3.521948301031597e-5
378843,396,402,307,3.895960078293843e-6,4.76801558215958e-6,3.1605908460002934e-6
378828,58677,45223,42008,5.772809331162825e-4,5.363780315223947e-4,4.3247589660840496e-4
378287,27847,37410,23376,2.7396666742487036e-4,4.4371010678753703e-4,2.4065788800033504e-4
377751,1325,4219,1261,1.3035725009442784e-5,5.0040442142117584e-5,1.2982101162235732e-5
377697,19077,17091,14339,1.876849252868981e-4,2.0271182665345617e-4,1.4762121218501044e-4
377474,6198,6434,5332,6.0977678195114247e-5,7.63119707851113e-5,5.489338889535363e-5
377073,840,2246,1489,8.264157741835425e-6,2.663921143664283e-5,1.532938035731087e-5
372460,255,358,342,2.5087621716286112e-6,4.246143229883407e-6,3.5209187926127047e-6
372445,2574,4470,3543,2.532374050890998e-5,5.301748669714757e-5,3.647548328136495e-5
371546,42860,41322,30389,4.216688104941266e-4,4.901093031990004e-4,3.1285731341727335e-4
371280,16716,13220,630,1.6445673906252496e-4,1.5679892038843196e-4,6.485903039023403e-6
371262,1163,803,772,1.1441923159231666e-5,9.524170429040156e-6,7.9478049938509e-6
370223,14398,10109,7953,1.416515990082696e-4,1.1990017293545074e-4,8.187680455452877e-5
370160,10533,8236,6222,1.0362663511280064e-4,9.768501575787638e-5,6.40560138234978e-5
362287,3846,3817,3401,3.783803651797506e-5,4.5272426559958006e-5,3.501358132653745e-5
362282,1392,1335,530,1.369488997218442e-5,1.5834081597470247e-5,5.4563946201308e-6
362184,886,901,519,8.716718761031175e-6,1.0686522486382541e-5,5.343148694052613e-6
362181,3157,3275,4341,3.105945951306481e-5,3.884390803873787e-5,4.469096046412793e-5
362105,960,1659,1372,9.444751704954772e-6,1.9676959827867522e-5,1.4124855507206523e-5
362065,3248,3970,3536,3.195474326843031e-5,4.7087119057645604e-5,3.640341769204247e-5
362022,2726,2280,1872,2.6819159528861155e-5,2.7042476436128962e-5,1.9272397601669543e-5
360846,2196,2026,1550,2.160486952508404e-5,2.4029849675261962e-5,1.595738049283536e-5
360154,52060,25125,45732,5.121810143332764e-4,2.980009738849738e-4,4.708147901279655e-4
360146,354843,367782,318722,0.0034910458637929854,0.004362164942382623,0.0032812698228628845
357409,1699,10034,10634,1.6715242861164747e-5,1.1901061778952544e-4,1.0947792526503948e-4
357337,83844,141463,68901,8.248810020314874e-4,0.001677855194773733,7.093415957011929e-4
357024,2851,1789,1238,2.8048944907110472e-5,2.121885541413803e-5,1.2745314225890434e-5
356925,1735,2019,1645,1.7069421050100552e-5,2.3946824528308935e-5,1.693541349078333e-5
351749,374,584,451,3.679517851721963e-6,6.9266694029382955e-6,4.643082969205643e-6
