BinBase name,F_PAT_19_019,F_PAT_20_020,F_PAT_21_021,normF_PAT_19_019,normF_PAT_20_020,normF_PAT_21_021
377751,1733,2204,1146,2.4721241963242637e-5,3.1487310242524865e-5,1.5319524372882037e-5
377697,3951,5322,5100,5.636100807661377e-5,7.603242518635087e-5,6.817589380601953e-5
377474,2651,1755,2403,3.781651035461987e-5,2.5072699399106687e-5,3.212287702271862e-5
377073,309,214,257,4.407884458535473e-6,3.05729781846657e-6,3.435530334930788e-6
372460,3512,877,2645,5.0098673845878904e-5,1.2529206480351319e-5,3.5357890022925816e-5
372445,354,224,273,5.049809379681416e-6,3.200162202507064e-6,3.6494154919692807e-6
371546,36181,22173,25484,5.161219015995856e-4,3.167731987329872e-4,3.4066558387305915e-4
371280,1575,1034,473,2.2467372240107994e-5,1.4772177309787074e-5,6.322979954950439e-6
371262,121,137,122,1.7260647879702014e-6,1.957242061354767e-6,1.6308743224185064e-6
370223,777,750,486,1.1083903638453277e-5,1.0714828803037046e-5,6.496761645044214e-6
370160,13129,8574,12495,1.872851619938907e-4,1.224919228763195e-4,1.6703093982474784e-4
362287,1032,880,1063,1.472147819161362e-5,1.2572065795563467e-5,1.4209995120744856e-5
362282,2303,1609,1618,3.2852290964424575e-5,2.2986879392115476e-5,2.162913650551757e-5
362184,881,742,801,1.2567463456212789e-5,1.060053729580465e-5,1.0707625674239538e-5
362181,58700,38656,31478,8.37355397139263e-4,5.522565629469334e-4,4.2079231082860447e-4
362105,330,613,625,4.707449421736913e-6,8.757586741682278e-6,8.35488894681612e-6
362065,7702,5859,8269,1.0986901650369002e-4,8.37042426093254e-5,1.1053852272195598e-4
362022,11336,7815,10714,1.617080201357868e-4,1.1164851612764602e-4,1.4322284828190065e-4
360846,1119,766,1106,1.596253303916244e-5,1.0943411817501836e-5,1.4784811480285804e-5
360154,12755,31025,12072,1.8195005264925554e-4,4.4323675148563247e-4,1.613763509855427e-4
360146,268810,214157,265242,0.003834574178960908,0.003059540789296006,0.0035457079264502415
357409,2880,1652,1003,4.108319495334033e-5,2.3601196243489598e-5,1.3407925781850507e-5
357337,79162,60439,50297,0.001129245791283447,8.634580507023413e-4,6.723613589728165e-4
357024,1009,521,555,1.4393383231916803e-5,7.443234408509734e-6,7.4191413847727135e-6
356925,2909,2718,4142,4.149687990252327e-5,3.8830539582206253e-5,5.5369520028339785e-5
351749,130,112,163,1.85444977219939e-6,1.600081101253532e-6,2.1789550373296437e-6
