BinBase name,L1_SF_907,L2_SF_907,L3_SF_907,normL1_SF_907,normL2_SF_907,normL3_SF_907
"3-Aminopiperidine-2,6-dione",155075,145204,163428,6.202738145206462e-4,6.016781227321022e-4,7.063808190939177e-4
3-aminoisobutyric acid,12754,10331,11680,5.10138463994604e-5,4.280830201609699e-5,5.04841763162797e-5
"3,6-anhydro-D-galactose",33035,23226,15608,1.3213442181324872e-4,9.624098563797006e-5,6.746207396785048e-5
"3,4-dihydroxyphenylacetic acid",20647,3508,17578,8.258451361217335e-5,1.4536010402910486e-5,7.597695644585313e-5
2-picolinic acid,1680,2303,2627,6.719716320455816e-6,9.542882542161589e-6,1.1354617395793388e-5
2-monoolein,16505,12478,16942,6.601721301733526e-5,5.170477132483382e-5,7.322798931082283e-5
2-ketoisovaleric acid,107431,74472,48013,4.2970585953743375e-4,3.085877328180017e-4,2.0752540731793984e-4
2-ketoisocaproic acid,330325,261088,190224,0.001321244222353909,0.0010818637069769366,8.222005098962319e-4
2-hydroxyglutaric acid,2631097,759840,2483090,0.010523943721191866,0.003148529687727339,0.01073259874736224
2-Deoxyinosine,4281,3292,3342,1.7123277123732943e-5,1.3640976695091597e-5,1.4445044285017702e-5
2-amino-4-oxo-4-phenylbutanoic acid,1465,3016,1484,5.859752624683197e-6,1.2497322512878571e-5,6.4142566484040305e-6
"2,6-diaminopimelic acid",2016,2329,2163,8.06365958454698e-6,9.650618081065715e-6,9.349081624324743e-6
1-monopalmitin,8573,3209,6012,3.4290552390040304e-5,1.3297051705513043e-5,2.5985519521701503e-5
1-kestose,12184,2390,1345,4.873394264787718e-5,9.903382230033086e-6,5.813460372037346e-6
588382,173011,169619,192000,6.920147859037983e-4,7.028459374376493e-4,8.29876870952543e-4
588380,203747,280529,238555,8.149535959189947e-4,0.0011624208843552099,0.001031100400781687
588375,17304,14594,13407,6.92130781006949e-5,6.0472786721800356e-5,5.794874587948304e-5
588374,149074,140670,160335,5.962708278307323e-4,5.82890702217052e-4,6.930120213759166e-4
588356,11218,7067,11389,4.4870105763615086e-5,2.928334820905599e-5,4.922639418374225e-5
562527,40639,23524,37154,1.6254913782559757e-4,9.747580066079427e-5,1.6058981908005616e-4
554665,3175,2033,1362,1.2699463879432865e-5,8.424090407387976e-6,5.886939053319602e-6
553510,11858,11583,13018,4.74299976952173e-5,4.7996182581787965e-5,5.626738076073023e-5
553483,71430,60397,168328,2.85707938553666e-4,2.502655131997106e-4,7.275599684046857e-4
553440,16281,15034,3730,6.512125084127448e-5,6.229600353402403e-5,1.6122087128400966e-5
553439,10460,8276,3054,4.183823375712371e-5,3.4293050768097834e-5,1.3200228978588888e-5
553386,115611,122769,80613,4.624244782882246e-4,5.087147836815614e-4,3.4843158436509035e-4
553359,24628,25764,15330,9.850784139296776e-5,1.0675763170484202e-4,6.62604814151171e-5
553345,17828,20381,5312,7.130898961969422e-5,8.445223147711478e-5,2.2959926763020355e-5
553344,100479,97192,59753,4.018990334304047e-4,4.027320191219145e-4,2.582689201563922e-4
553268,31864,33100,46119,1.274506195446453e-4,1.3715562837409838e-4,1.9933901776802255e-4
553263,58955,61624,23336,2.3581004504313847e-4,2.5534980190107065e-4,1.0086461802369033e-4
550987,16970,22150,5176,6.787713449889e-5,9.178239179716856e-5,2.2372097312762305e-5
545358,3642036,4872662,3747325,0.01456752901719501,0.020190725633371327,0.016196970549178322
545069,330441,134515,1129736,0.001321708202766512,5.573863852187869e-4,0.004883030086887719
544748,7065333,5712817,6187041,0.028260138969973245,0.023672054544448085,0.026742094924661942
544707,775,768,483,3.0998691359245578e-6,3.1823420722449413e-6,2.087659003489991e-6
544105,14653,7939,6777,5.860952574026135e-5,3.2896632436917436e-5,2.9292060179403043e-5
544078,10898,15254,13262,4.359015979781397e-5,6.320761194013586e-5,5.732201595089909e-5
544032,13906,8993,10389,5.562165187634439e-5,3.726406543710776e-5,4.4904118814197754e-5
541377,132712,117039,103289,5.308255906668644e-4,4.849715283769215e-4,4.464435006448813e-4
540580,3051,3580,1452,1.2203484817684937e-5,1.483435497218345e-5,6.275943836578606e-6
539711,12809,1099,1247,5.1233837112332464e-5,4.553898355985925e-6,5.389877385821985e-6
539702,3665,2963,2707,1.4659381139565812e-5,1.2277707760497085e-5,1.1700399425356947e-5
539604,5931,3309,3232,2.3722998509894906e-5,1.3711419162836603e-5,1.3969593994367808e-5
534660,3804,2085,1200,1.5215357668460668e-5,8.639561485196228e-6,5.186730443453394e-6
524550,997,1516,986,3.987831649699077e-6,6.2818106530251706e-006,4.261763514370872e-6
521677,46837,26759,29497,1.8734009125070776e-4,1.1088058790521143e-4,1.2749415657545396e-4
