BinBase name,L1_PAC_440,L2_PAC_440,L3_PAC_440,normL1_PAC_440,normL2_PAC_440,normL3_PAC_440
galactinol,346,443,NA,1.4108183015264482e-6,1.8422402433147743e-6,NA
fumaric acid,180405,202608,152888,7.356031089216154e-4,8.425566844639272e-4,6.274924311865249e-4
fructose-6-phosphate,20595,16990,2939,8.397630901715954e-5,7.065386395918287e-5,1.2062426451109286e-5
fructose-1-phosphate,5092,7298,NA,2.0762678587782298e-5,3.0349140622372962e-5,NA
fructose,198434,250537,536950,8.091165284540441e-4,0.0010418721079895115,0.0022037835600282854
ethanolamine,7463266,7829551,7565584,0.030431538329364422,0.032559625145113846,0.031051140033919428
erythritol,87054,84205,53495,3.5496351566787117e-4,3.501711956846965e-4,2.1955750357335532e-4
ergosterol,22328,30530,7026,9.104263305341774e-5,1.2696071022212202e-4,2.883654584739498e-5
Dopamine,386650,54450,389134,0.0015765690644080961,2.2643336624941185e-4,0.0015971079464532022
digalacturonic acid,8010,5716,NA,3.2660851431291474e-5,2.3770305261370768e-5,NA
dehydroabietic acid,1715,1492,NA,6.992928864502482e-6,6.204565334143664e-6,NA
cytidine,4821,5278,NA,1.9657673501904646e-5,2.194885779732591e-5,NA
cystathionine,17298,67213,35865,7.053276005723844e-5,2.795090146138057e-4,1.4719936191528906e-4
citrulline,476166,455250,361425,0.0019415714085683317,0.0018931825525260744,0.0014833829466118318
citric acid,61631,44996,88942,2.513009905820131e-4,1.8711837920585008e-4,3.650412839110453e-4
cholesterol,76403,57670,57987,3.1153396153620007e-4,2.3982391609923934e-4,2.3799384913932432e-4
chenodeoxycholic acid,1266,994,NA,5.162127080151687e-6,4.133604518859787e-6,NA
cerotinic acid,2870,5003,NA,1.170245238549395e-5,2.0805254937480396e-5,NA
cellobiose minor,1786,1772,NA,7.282432041983343e-6,7.368960973259097e-6,NA
caproic acid,19702,12224,NA,8.033509299616788e-5,5.083418675909661e-5,NA
capric acid,7036,5736,NA,2.8689357137399104e-5,2.385347637845044e-5,NA
campesterol,78286,97613,82461,3.192119120037559e-4,4.059291125749098e-4,3.384415609339649e-4
butylamine,11272,100142,99718,4.596168755724314e-5,4.164461003296346e-4,4.092688128110636e-4
biphenyl,5421,4560,NA,2.210417922709502e-5,1.896301469416562e-5,NA
biopterin,1426,2158,NA,5.814528606869119e-6,8.974163532896801e-6,NA
beta-sitosterol,238069,210297,245228,9.707286191505782e-4,8.745318204252078e-4,0.0010064799978743205
beta-alanyl lysine,296855,315187,259201,0.0012104290950856469,0.001310722743949557,0.0010638288528594685
beta-alanine,813211,425271,489065,0.003315875612146314,0.0017685132065794974,0.0020072509671016548
Benzaldehyde-4-carboxylic acid,2025,3451,NA,8.256956822517509e-6,1.435117625209771e-5,NA
behenic acid,32124,40323,33546,1.3098591652669256e-4,1.676854477001843e-4,1.3768157799554684e-4
azelaic acid,5852,4079,NA,2.3861585839690104e-5,1.6962749328399468e-5,NA
aspartate,573457,1009366,553473,0.002338276389417493,0.0041975048881121,0.0022715982834892175
asparagine,1801414,2533454,1846754,0.007345282774063483,0.010535509962498394,0.007579562537697135
arachidic acid,57358,58859,63757,2.3387779230911568e-4,2.4476843900962593e-4,2.6167544172962733e-4
arabitol,678926,885676,1007587,0.0027683272433009984,0.003683133114532858,0.004135401184278276
arabinose,13895,7506,NA,5.665699508586705e-5,3.121412024000157e-5,NA
alpha-ketoglutarate,434243,163737,204813,0.0017706299760397385,6.809094598637273e-4,8.406062431885153e-4
alpha-aminoadipic acid,4908,12827,NA,2.001241683205725e-5,5.334179593904878e-5,NA
allantoin,16631,19427,NA,6.781306119273515e-5,8.078826457534113e-5,NA
allantoic acid,62899,41801,36961,2.5647127268124876e-4,1.7383179325237218e-4,1.5169763322880244e-4
alanine,16135121,22073181,23503608,0.06579110983856569,0.09179255606359153,0.0964649686409336
adipic acid,11256,10497,NA,4.5896447404571394e-5,4.365236079926678e-5,NA
adenosine-5-monophosphate,12581,14523,NA,5.129914754770014e-5,6.039470666740511e-5,NA
adenosine,24939,13334,NA,1.0168901046753784e-4,5.545018375701851e-5,NA
adenine,9600,8675,NA,3.9144091603045966e-5,3.60754720333085e-5,NA
aconitic acid,724,603,NA,2.952116908396383e-6,2.5076091799521644e-6,NA
9-myristoleate,148286,60085,153551,6.046375799426328e-4,2.4986682848660995e-4,6.302135569902287e-4
6-methylcholecalciferol,376,1099,NA,1.533143587785967e-6,4.570252883528075e-6,NA
5-methyluridine,581,1175,NA,2.3690330438926777e-6,4.8863031284308345e-6,NA
5-aminovaleric acid,11767,20835,NA,4.798005478052519e-5,8.664351121775016e-5,NA
4-hydroxybutyric acid,1137,784,NA,4.636128349235756e-6,3.260307789523212e-6,NA
3-phosphoglycerate,11256,9135,NA,4.5896447404571394e-5,3.7988407726141e-5,NA
3-hydroxypropionic acid,36170,41352,37874,1.4748352013355963e-4,1.719646016739335e-4,1.5544482456934778e-4
3-hydroxykynurenine,56898,17851,19110,2.3200213791980305e-4,7.423438054946283e-5,7.843244963616825e-5
3-hydroxy-3-methylglutaric acid,3417,3252,NA,1.3932850104959173e-5,1.3523623637154956e-5,NA
"3-Aminopiperidine-2,6-dione",78781,115462,49768,3.212302792270379e-4,4.801551760126647e-4,2.0426091855012146e-4
3-aminoisobutyric acid,8016,4113,NA,3.2685316488543383e-5,1.7104140227434913e-5,NA
"3,6-anhydro-D-galactose",21283,31867,NA,8.678163558204451e-5,1.325206993988982e-4,NA
"3,4-dihydroxyphenylacetic acid",14924,12419,NA,6.085275240456854e-5,5.1645105150623436e-5,NA
2-picolinic acid,2337,2261,NA,9.529139799616502e-6,9.402494785857121e-6,NA
2-monoolein,10192,7419,10316,4.1557977251900464e-5,3.085232588070499e-5,4.2339568312229805e-5
2-ketoisovaleric acid,44731,17291,18766,1.8239107932248427e-4,7.190558927123197e-5,7.702058345747426e-5
2-ketoisocaproic acid,80582,76057,72057,3.2857387391215106e-4,3.1628728258643743e-4,2.9574081755276687e-4
2-hydroxyglutaric acid,3406518,2011621,5333631,0.013890109649940098,0.008365438285546523,0.021890619821318978
2-Deoxyinosine,2927,3374,NA,1.1934870429387035e-5,1.4030967451340967e-5,NA
2-amino-4-oxo-4-phenylbutanoic acid,4227,1658,NA,1.7235632833966176e-5,6.8948856059049565e-6,NA
"2,6-diaminopimelic acid",4837,1074,NA,1.972291365457639e-5,4.466288987178482e-6,NA
1-monopalmitin,2294,2275,NA,9.353806889311192e-6,9.460714567812892e-6,NA
1-kestose,3041,32095,NA,1.2399706517173205e-5,1.334688501336065e-4,NA
