BinBase name,L1_PF_907,L2_PF_907,L3_PF_907,normL1_PF_907,normL2_PF_907,normL3_PF_907
beta-alanyl lysine,104052,157532,273216,3.632274495227053e-4,6.07028036135408e-4,0.0010842780746719138
beta-alanine,1890625,2152778,1210539,0.006599843316359749,0.008295435857955917,0.00480411431334645
Benzaldehyde-4-carboxylic acid,4102,2660,8775,1.4319369141795805e-5,1.0249946525913373e-5,3.4824242010885315e-5
behenic acid,58961,53344,62921,2.0582260457567585e-4,2.0555381484147481e-4,2.497066816600473e-4
azelaic acid,9474,10779,13663,3.30720875790769e-5,4.15354036100828e-5,5.422263459768958e-5
aspartate,51856,63762,181496,1.8102028430447666e-4,2.4569815428018366e-4,7.202804134481643e-4
asparagine,1704853,1926138,1845296,0.0059513455483905416,0.007422109587041253,0.007323194813187308
arachidic acid,144593,131488,126768,5.047490351827598e-4,5.066710409019916e-4,5.030882633887077e-4
arabitol,2237201,2915587,1788229,0.007809679903314167,0.01123481610588278,0.0070967201671662036
arabinose,10305,15802,13352,3.597296416533539e-5,6.089084774529441e-5,5.2988407900779575e-5
alpha-ketoglutarate,173997,377600,212567,6.073932892650036e-4,0.0014550300030770262,8.435879944761092e-4
alpha-aminoadipic acid,1472,4300,1807,5.138496191302638e-6,1.6569462429108084e-5,7.171214280760087e-6
allantoin,20050,55820,21824,6.999106564919695e-5,2.1509474250995658e-4,8.661017181145996e-5
allantoic acid,186316,243960,116597,6.503967774312109e-4,9.400665242337694e-4,4.627238912527858e-4
alanine,22920197,19967231,20907872,0.08001042458451506,0.07694099624833076,0.08297444951118095
adipic acid,15459,16867,18184,5.396468248732846e-5,6.499467971901536e-5,7.216456031064827e-5
adenosine-5-monophosphate,23181,20555,16628,8.09208425343658e-5,7.920588377449225e-5,6.598945825151008e-5
adenosine,8522,28602,15282,2.974882102057139e-5,1.1021389869705801e-4,6.064775685588027e-5
adenine,19511,21162,19057,6.810951031827838e-5,8.154487533134542e-5,7.56291259260902e-5
aconitic acid,1112,577,944,3.88179875321232e-6,2.2233906561849684e-6,3.7463344111995144e-6
9-myristoleate,183422,188722,25600,6.402943263594515e-4,7.272144391967759e-4,1.0159550945625802e-4
6-methylcholecalciferol,3440,2902,1536,1.2008442186196383e-5,1.1182460457970154e-5,6.095730567375481e-6
5-methyluridine,2452,2839,2879,8.55950588388184e-6,1.0939698566566943e-5,1.1425526239240892e-5
5-aminovaleric acid,16569,13959,23555,5.783949958810694e-5,5.378909908091157e-5,9.347977442352177e-5
4-hydroxybutyric acid,1992,1385,25312,6.953725824099767e-6,5.336908247515046e-6,1.0045255997487511e-4
3-phosphoglycerate,18449,1848,15235,6.440225287591194e-5,7.12101548116087e-6,6.0461233850237923e-5
3-hydroxypropionic acid,53097,78255,55180,1.8535239963967133e-4,3.0154494939298914e-4,2.1898594577329366e-4
3-hydroxykynurenine,19662,45930,194482,6.863662507703294e-5,1.76984978923008e-4,7.718163230496864e-4
3-hydroxy-3-methylglutaric acid,7134,9112,6841,2.4903554231489826e-5,3.511184689628671e-5,2.7149018757432074e-5
"3-Aminopiperidine-2,6-dione",26654,34901,24552,9.304448198572047e-5,1.3448623447402354e-4,9.743644328789246e-5
3-aminoisobutyric acid,6271,10572,9822,2.1890971206289977e-5,4.073775739547225e-5,3.8979339604662745e-5
"3,6-anhydro-D-galactose",15294,24621,15587,5.338869616153706e-5,9.487365917838841e-5,6.185817210526147e-5
"3,4-dihydroxyphenylacetic acid",11444,34805,22883,3.994901522640448e-5,1.341163115918853e-4,9.081289230029501e-5
2-picolinic acid,4226,3492,4639,1.475223159269358e-5,1.3455944837778008e-005,1.841021751435863e-5
2-monoolein,79502,41916,19463,2.7752766589737935e-4,1.6151757841360336e-4,7.724036720887304e-5
2-ketoisovaleric acid,14400,25636,26136,5.026789752361277e-5,9.878482298432904e-5,1.0372266543549842e-4
2-ketoisocaproic acid,42675,47067,52637,1.489710088069566e-4,1.8136625305833261e-4,2.0889386059566613e-4
2-hydroxyglutaric acid,13474807,2578400,5604794,0.04703820954350417,0.00993551207609588,0.02224304304013196
2-Deoxyinosine,7076,15505,7386,2.4701086310908608e-5,5.974639882867927e-5,2.931189190796569e-5
2-amino-4-oxo-4-phenylbutanoic acid,1453,3152,9336,5.072170493181205e-6,1.2145801296871786e-5,3.7050612354829095e-5
"2,6-diaminopimelic acid",3931,1407,10826,1.3722437858702902e-5,5.421682241338389e-6,4.2963788491150365e-5
1-monopalmitin,5626,5318,3923,1.9639388296378154e-5,2.0492186325115533e-5,1.5568718109253913e-5
1-kestose,48898,28150,23147,1.7069442035483453e-4,1.0847217846032386e-4,9.186059599156267e-5
588382,102448,103302,93642,3.576281642707695e-4,3.980601413608659e-4,3.7162526158214504e-4
588380,44324,54569,89907,1.5472738123865364e-4,2.102741849520928e-4,3.5680263549546054e-4
588375,36725,36018,33922,1.2820059281629714e-4,1.3879044134223605e-4,1.3462198717871814e-4
588374,19904,24673,6985,6.948140502152699e-5,9.507403407287995e-5,2.7720493498123526e-5
588356,2462,3057,3792,8.594414146051016e-6,1.1779731778089166e-5,1.5048834838208218e-5
562527,37008,39571,49626,1.291884966356848e-4,1.5248144134470605e-4,1.9694448251079142e-4
