BinBase name,L1_SF_748,L2_SF_748,L3_SF_748,normL1_SF_748,normL2_SF_748,normL3_SF_748
glutaric acid,4775,5929,5760,1.974920209087594e-5,2.4463175541422496e-5,2.2566557858638638e-5
glutamine,10287403,6957755,1499704,0.04254827242665622,0.028707839760366012,0.005875548105352743
glutamate,8159191,9372326,6860002,0.03374607580252485,0.0386704092038182,0.02687615139641958
glucose-6-phosphate,17899,27628,28522,7.402952214127507e-5,1.1399369435965943e-4,1.1174363945209917e-4
glucose,4783768,5373225,5244389,0.0197854661754692,0.022170036498323477,0.020546494410018757
gluconic acid lactone,120464,108186,110564,4.982341111361842e-4,4.46377653756845e-4,4.331682123407157e-4
gluconic acid,635480,690201,710156,0.002628318941300491,0.0028477834747622447,0.002782252858100587
galacturonic acid,39703,371866,39382,1.6420996243226126e-4,0.0015343267390599794,1.5429100374807412e-4
galactose,207403,199791,207263,8.578102117809305e-4,8.243417616117966e-4,8.120160558081633e-4
galactinol,5228,4873,3858,2.162279131541349e-5,2.0106097893970623e-5,1.5114892399067338e-5
fumaric acid,219478,266797,369617,9.077519113091665e-4,0.0011008098912000165,0.001448087398617437
fructose-6-phosphate,8549,12862,14978,3.5358309670135796e-5,5.3068875664323855e-5,5.868088604282804e-5
fructose-1-phosphate,4909,7626,6770,2.0303420536986387e-5,3.146503232904165e-5,2.6523541094267984e-5
fructose,261454,261841,276655,0.00108136290753254,0.001080361333604589,0.0010838803931218183
ethanolamine,6890205,7260830,5217625,0.028497602302107617,0.029958333423246195,0.020441638272079763
erythritol,652887,821782,731723,0.002700313571833659,0.0033906893781044463,0.002866748162499417
ergosterol,7419,1968,7409,3.068467650517458e-5,8.120008342978491e-6,2.9027018606710707e-5
Dopamine,77784,65669,107829,3.217114000914543e-4,2.709516401804139e-4,4.2245301516304615e-4
digalacturonic acid,27041,27300,32829,1.1184045523337725e-4,1.1264035963582967e-4,1.2861762637868886e-4
dehydroabietic acid,20090,19321,21339,8.309140733103616e-5,7.971884207047125e-5,8.360204481692533e-5
cytidine,7670,12625,13812,3.17228021019934e-5,5.209100880594687e-5,5.411272519852723e-5
cystathionine,19705,22172,53352,8.14990632881069e-5,9.148212651449142e-5,2.090227421656404e-4
citrulline,506746,470021,614414,0.0020958804529304757,0.001939316281186531,0.0024071543541940277
citric acid,403872,404080,269554,0.00167039785274267,0.0016672423634302583,0.0010560600585117152
cholesterol,57111,66465,39210,2.362087289239824e-4,2.742359524980007e-4,1.5361714125646197e-4
chenodeoxycholic acid,855,940,916,3.536244562868886e-6,3.878459269512084e-6,3.58870954835295e-6
cerotinic acid,966,919,917,3.9953359622588815e-6,3.791812839022984e-6,3.5926273535367416e-6
cellobiose minor,11407,5036,12423,4.717887921478992e-5,2.0778639235386015e-5,4.867089379824094e-5
caproic acid,12302,15173,11966,5.088056211978133e-5,6.26041090386243e-5,4.6880456829248256e-5
capric acid,7899,6979,7670,3.266993661064483e-5,2.8795497065877483e-5,3.004956575968027e-5
campesterol,14268,68892,9443,5.901185663510324e-5,2.8424980425024093e-4,3.699583435054248e-5
butylamine,101084,107691,112636,4.180792343778228e-4,4.4433527360960196e-4,4.4128590468153154e-4
biphenyl,6719,7091,7655,2.7789505518030462e-5,2.925761136181935e-5,2.99907986819234e-5
biopterin,2172,3714,4068,8.98330197725289e-6,1.5324040135072214e-5,1.593763148766354e-5
beta-sitosterol,164557,240003,237827,6.806009316163922e-4,9.90257297936924e-4,9.317598534455645e-4
beta-alanyl lysine,844485,740284,978705,0.0034927549586834285,0.0030544269594377487,0.0038343755224025918
beta-alanine,1905991,1308875,1902679,0.007883099778511147,0.005400445081258116,0.007454325649291095
Benzaldehyde-4-carboxylic acid,5049,5384,5297,2.088245473441521e-5,2.2214494369205384e-5,2.0752614058543207e-5
behenic acid,34269,35513,42220,1.417351636549168e-4,1.4652736599806663e-4,1.6540973485967418e-4
azelaic acid,5616,5013,1235,2.3227543234001947e-5,2.0683740763897954e-5,4.838489401982416e-6
aspartate,2171771,2633614,3819977,0.008982354842744239,0.010866345351719998,0.014965925692564037
asparagine,2433158,2306689,3005144,0.010063440641053724,0.00951744609992719,0.011773568741239714
arachidic acid,47714,42646,69402,1.9734312640084915e-4,1.759582702208642e-4,2.7190351536549284e-4
arabitol,831737,694499,764002,0.003440029759048981,0.0028655171108690138,0.0029932109960270205
arabinose,77139,49782,82077,3.1904370682472866e-4,2.054015525051602e-4,3.2156169607004925e-4
alpha-ketoglutarate,759207,199346,669746,0.0031400486851953196,8.225056824895275e-4,0.0026239343506235754
alpha-aminoadipic acid,8972,8070,11183,3.710782013808146e-5,3.329698543081119e-5,4.3812815370339565e-5
allantoin,11603,10141,10835,4.798952709119028e-5,4.1841973885236217e-5,4.244941916638015e-5
allantoic acid,44116,38047,34621,1.824619475269284e-4,1.5698270194375134e-4,1.3563833326804312e-4
alanine,12243270,15643622,12133025,0.05063765727395994,0.06454590505813103,0.04753482824007102
adipic acid,12919,2917,8794,5.3432448547021214e-5,1.2035601796985904e-5,3.445317878626184e-5
adenosine-5-monophosphate,8389,7818,10226,3.4696556301645714e-5,3.2257228264941996e-5,4.0063475809451164e-5
adenosine,36224,21081,24666,1.49820962626155e-4,8.69806381495577e-5,9.663658266339942e-5
adenine,8850,10566,11224,3.660323319460777e-5,4.3595532597515615e-5,4.397344538287502e-5
aconitic acid,8822,8965,8816,3.6487426355122e-5,3.698977377784663e-5,3.453937050030525e-5
9-myristoleate,121458,73693,155389,5.023452539379288e-4,3.0405882866824894e-4,6.087838297041666e-4
6-methylcholecalciferol,537,387,534,2.2210097429948444e-6,1.596769933299124e-6,2.0921079681446236e-6
5-methyluridine,586,1885,1007,2.4236717120949326e-6,7.777548641521573e-6,3.94522982007797e-6
5-aminovaleric acid,30607,30376,52218,1.265892834336e-4,1.2533199869223303e-4,2.0457995108722092e-4
4-hydroxybutyric acid,1917,1272,2715,7.928632546221818e-6,5.248298075339756e-6,1.0636841073993734e-5
3-phosphoglycerate,5981,5048,7413,2.473716810586995e-5,2.082815148137979e-5,2.904268982744587e-5
3-hydroxypropionic acid,68506,51044,60073,2.8333797663613556e-4,2.1060859037550512e-4,2.353543108059026e-4
3-hydroxykynurenine,36428,22692,40458,1.5066469817097986e-4,9.36276571742215e-5,1.585065621258337e-4
3-hydroxy-3-methylglutaric acid,2899,3165,3766,1.1990143845329708e-5,1.3058854880857177e-5,1.4754454322158527e-5
"3-Aminopiperidine-2,6-dione",180113,195121,203533,7.449399028678406e-4,8.050732458792205e-4,7.974026424726212e-4
3-aminoisobutyric acid,15265,591,12995,6.313540731250707e-5,2.4384781151932357e-6,5.0911878363369636e-5
"3,6-anhydro-D-galactose",23698,25584,29064,9.801394579048757e-5,1.0556010845872038e-4,1.1386708986171412e-4
"3,4-dihydroxyphenylacetic acid",17067,10043,21129,7.058840462512664e-5,4.143762387628709e-5,8.277930572832913e-5
2-picolinic acid,2585,2179,2412,1.0691452859667919e-5,8.99059866836897e-6,9.44974610330493e-6
2-monoolein,18659,16832,18150,7.717285064160297e-5,6.94491770472632e-5,7.110816408581446e-5
2-ketoisovaleric acid,45903,75908,129602,1.8985290546125202e-4,3.131979640745992e-4,5.07755387429737e-4
2-ketoisocaproic acid,247942,283641,214542,0.0010254778355635525,0.0011703085804932734,8.40533759740981e-4
2-hydroxyglutaric acid,2246417,3111373,1757223,0.00929108760489618,0.012837588779531513,0.006884457378477529
2-Deoxyinosine,2250,3302,4820,9.305906744391805e-6,1.3624119689286065e-5,1.8883820985874693e-5
2-amino-4-oxo-4-phenylbutanoic acid,2908,1612,3028,1.2027367472307276e-5,6.651145045163276e-6,1.1863114096520451e-5
"2,6-diaminopimelic acid",3488,3162,2767,1.442622343308383e-5,1.3046476819358733e-5,1.0840566943550887e-5
