BinBase name,L1_SAC_440,L2_SAC_440,L3_SAC_440,normL1_SAC_440,normL2_SAC_440,normL3_SAC_440
pelargonic acid,87563,62819,54952,3.4842896668510064e-4,2.6573960057289325e-4,2.2496434475613892e-4
parabanic acid,21795,11405,13027,8.672623515527983e-5,4.824591516155698e-5,5.333037048948577e-5
pantothenic acid,41187,51192,37727,1.638904999926823e-4,2.165545715870605e-4,1.5444806075511089e-4
palmitoleic acid,543639,368515,220414,0.002163237612001889,0.0015589077970855913,9.023382421946355e-4
palmitic acid,2192517,1526574,1312515,0.008724420505801729,0.006457778140450564,0.005373218025869917
palatinitol,185149,16904,182248,7.36741257754756e-4,7.150801840341598e-5,7.460929884829816e-4
oxoproline,6110190,5656563,8017067,0.02431354782213532,0.023928632933275074,0.032820538370233375
ornithine,770412,1129335,859774,0.003065608271550789,0.004777360859182547,0.0035197717016371487
oleic acid,645795,409785,374916,0.0025697347571509033,0.0017334899030669554,0.0015348437232237694
octadecanol,2925,2166,5675,1.1639102446854485e-5,9.162705150366717e-6,2.323250575940982e-5
nonadecanoic acid,39838,35614,35141,1.5852258573599624e-4,1.5065585467458924e-4,1.4386140702932519e-4
N-methyl-UMP,26025,12495,18637,1.0355816792457709e-4,5.285687943390219e-5,7.629677706398605e-5
N-methylethanolamine,1205183,1041287,1274999,0.004795640480070916,0.004404896471795895,0.005219633764007359
nicotinic acid,330693,139345,257035,0.0013158870787889404,5.894631344311405e-4,0.00105225852297267
nicotinamide,33981,23707,25408,1.352165265800213e-4,1.0028635780228244e-4,1.0401612446433211e-4
n-epsilon-trimethyllysine,4533,20959,6091,1.803762440738167e-5,8.866165154503049e-5,2.4935540542830874e-5
N-alpha-acetyllysine,10286,29169,39374,4.092984880969068e-5,1.233919420734288e-4,1.6119060471735724e-4
N-acetylserine,14417,17149,16447,5.736784272694055e-5,7.254442780408072e-5,6.733128144934156e-5
N-acetylputrescine,197741,72536,59156,7.86847096390924e-4,3.068448664759927e-4,2.4217482126936515e-4
N-acetylglucosamine-6-phosphate,4623,3680,4594,1.8395750636515652e-5,1.5567292222229696e-5,1.8807071622683473e-5
N-acetylgalactosamine,6356,15689,20258,2.5291670137506704e-5,6.636827382460916e-5,8.293288135226856e-5
N-acetylaspartic acid,6407,6595,6597,2.549460833401596e-5,2.789844896891436e-5,2.7007020351511293e-5
myristic acid,2289646,2358090,1665609,0.009110914311463448,0.009975292422912398,0.006818726111969133
myo-inositol,842146,425460,568851,0.0033510507928918693,0.0017997989534972408,0.0023287813451534863
methionine sulfoxide,458118,564805,585432,0.0018229341315378063,0.0023892620879283812,0.002396661200307103
methionine,1455253,1814541,2071794,0.005790714103621309,0.007675948368537199,0.008481579918468847
methanolphosphate,11410,5381,6781,4.540244749354177e-5,2.2762934632559236e-5,2.7760285736485988e-5
melezitose,990,1286,455,3.939388520473826e-6,5.4400917928770074e-6,1.8626942943667784e-6
maltotriose,29453,9292,18026,1.1719879807425818e-4,3.930741286112998e-5,7.379544472583638e-5
maltotriitol,20373,7874,13947,8.106784073496288e-5,3.330892906462952e-5,5.709669741435925e-5
maltose,240509,114632,144686,9.570286804753933e-4,4.8492115272245504e-4,5.923204102741796e-4
maltitol,1325,2385,1048,5.272413928916989e-6,1.0089128247287452e-5,4.29033762746458e-6
malonic acid,3935,3797,3604,1.565807457380253e-5,1.606223058907776e-5,1.4754176344830483e-5
malonamide,661,1833,866,2.630238193972928e-6,7.754034413952998e-6,3.5452599097178684e-6
malic acid,104587,299802,237089,4.161705325159556e-4,0.0012682351475024204,9.706029177079673e-4
maleimide,60773,119005,82215,2.4182672581288467e-4,5.034200029637078e-4,3.365745305744279e-4
lysine,5110578,2618020,3219126,0.020335911420389985,0.01107485934338092,0.013178566226478571
loganin,102304,76952,114013,4.070860638369235e-4,3.2552561714266836e-4,4.667502518321748e-4
linolenic acid,82381,42174,55791,3.2780885424763055e-4,1.7840624515769434e-4,2.2839907115827898e-4
linoleic acid,226378,156363,160286,9.007988833210341e-4,6.614534004740494e-4,6.561842146524692e-4
lignoceric acid,5751,4687,2944,2.2884266041661587e-5,1.9827146371084397e-5,1.2052246159595157e-5
leucrose,4053,4819,11154,1.612761785200042e-5,2.0385538374707854e-5,4.566262013047703e-5
leucine,14596970,14797531,17325586,0.05808397580979881,0.06259714381644098,0.07092806634892514
L-DOPA,2320663,1828035,1619623,0.00923433654756399,0.007733031260180343,0.006630467079396055
lauric acid,372262,430614,278951,0.0014812976256652801,0.0018216016230932657,0.001141978980456939
lactulose,50966,27123,34129,2.0280290437825151e-4,1.1473686601726523e-4,1.3971844741196435e-4
lactose,52058,46502,33170,2.0714816929174386e-4,1.96714734488621e-4,1.3579246097614514e-4
lactobionic acid,25462,14601,20016,1.0131788940232783e-4,6.176577003716733e-5,8.194217361768228e-5
lactitol,750549,354584,646178,0.0029865698127809186,0.0014999762894910582,0.002645345217022717
lactic acid,531022,83627,696057,0.0021130322938576283,3.5376248550771815e-4,0.0028495415438550696
kynurenine,9787,8023,7035,3.8944237828158926e-5,3.3939235189931754e-5,2.880011947444019e-5
kynurenic acid,9780,3862,4444,3.8916383565892947e-5,1.6337196348437793e-5,1.8192996580584537e-5
ketoisoleucine,42073,26304,44685,1.6741605375949017e-4,1.1127229744932879e-4,1.8293295504127362e-4
isoxanthopterin,16654,1902,4537,6.626926911108191e-5,8.045921143119804e-6,1.8573723106685878e-5
isothreonic acid,19727,24474,13162,7.849729024584562e-5,1.0353095376273087e-4,5.3883038027374814e-5
isomaltotriose,1750,1278,2305,6.9635655664941365e-6,5.406249853263465e-6,9.43628648025368e-6
isomaltose,5177,2591,4227,2.060021653585151e-5,1.096055819233618e-5,1.7304634686348073e-5
isoleucine,10350896,11330040,12394788,0.04118808169597822,0.047928816187378084,0.05074219975271607
isoheptadecanoic acid,30058,18461,15783,1.1960620217010328e-4,7.809450590070174e-5,6.461297592965026e-5
isogluconic acid,1001843,379983,410777,0.003986513953047535,0.001607420217521605,0.0016816526904551697
inulotriose,7862,23732,232,3.1284315705015374e-5,1.0039211386357476e-4,9.497693984463574e-7
inosine-5-monophosphate,6313,4646,8743,2.5120565383587133e-5,1.965370643056499e-5,3.57923872871401e-5
inosine,2254241,1941576,2428098,0.008970031432102463,0.0082133372183880015,0.0099402292104689809
indole-3-acetate,8542,11844,9680,3.399015832513881e-5,5.010299159785014e-5,3.962830938345146e-5
hypoxanthine,707227,330261,395730,0.0028141837627971137,0.001397084102338533,0.0016200527760654182
hypotaurine,14879,9038,13635,5.9206224036495005e-5,3.82329312784e-5,5.581942132679346e-5
homoserine,37623,51945,32738,1.4970870131897652e-4,2.197399441531852e-4,1.340239248549002e-4
histidine,3542292,4418849,5998471,0.014095418627238655,0.01869280262742051,0.024556742212361725
heptanoic acid,19651,10371,12725,7.81948725412436e-5,4.387184446650657e-5,5.20940327380599e-5
heptadecanoic acid,80298,60585,57935,3.195202216333407e-4,2.5628923893581144e-4,2.3717625042667982e-4
guanosine,180968,187894,185826,7.201043048213205e-4,7.948371752183768e-4,7.607407251538483e-4
glycyl-proline,71425,62337,77890,2.8421295462105353e-4,2.6370062371117734e-4,3.1886870019390853e-4
glycyl-glycine,41219,24709,27063,1.6401783376304103e-4,1.0452506073887868e-4,1.1079141909549038e-4
glycolic acid,23705,23824,19946,9.432646957356772e-5,1.007812961691305e-4,8.165560526470278e-5
glycine,2836322,2584958,3430375,0.011286236694108448,0.010934999067443052,0.014043384483600962
glycerol-alpha-phosphate,217164,366559,242151,8.641347158183615e-4,0.0015506334428500802,9.913259034619996e-4
glycerol-3-galactoside,68998,113924,118719,2.745554839754071e-4,4.819261410666565e-4,4.8601583281962545e-4
glycerol,4515713,3695659,4612614,0.01796883631712568,0.015633533588780755,0.01888327424157434
glyceric acid,86853,76129,48520,3.4560374865526586e-4,3.220441276049251e-4,1.9863280695093646e-4
glutaric acid,3707,4169,6968,1.4750821459996436e-5,1.76358807811075e-5,2.8525832622302667e-5
glutamine,8462627,11083379,15577111,0.0336743188453049,0.04688538035400107,0.06377010062069886
glutamate,7728382,11085402,9443560,0.030752625588521765,0.046893938134480846,0.03866036336375898
glucose-6-phosphate,18772,50543,9088,7.469717303670167e-5,2.1380914423591181e-4,3.720475988396766e-5
glucose,10578617,6461529,4256639,0.042094224618474,0.027333834278644463,0.01742597182083321
gluconic acid lactone,134514,55741,61467,5.352554620636527e-4,2.3579794449981128e-4,2.516356707513028e-4
gluconic acid,431868,828013,361606,0.0017184806480403942,0.0035026957431535536,0.0014803547978215238
galacturonic acid,66717,50216,42540,2.6547897365702245e-4,2.1242585495420826e-4,1.741516819392588e-4
galactose,404726,582348,315610,0.001610477735694232,0.002463473231258429,0.0012920548269123055
galactinol,1227,2287,1793,4.882454257193317e-6,9.674564487021553e-6,7.340243669889305e-6
fumaric acid,115311,253572,196378,4.5884326230743165e-4,0.0010726710389606599,8.039388574487016e-4
fructose-6-phosphate,11865,24377,7879,4.7212974540830244e-5,1.0312062024491665e-4,3.2255315044650214e-5
fructose-1-phosphate,9741,5492,4303,3.876119553326822e-5,2.3232491544697144e-5,1.7615766041011535e-5
fructose,152955,182483,102394,6.08635526413206e-4,7.719473333122667e-4,4.19183999071191e-4
ethanolamine,8344059,6625406,8913188,0.033202515392683145,0.028027073720900533,0.036489108642238324
erythritol,300197,321693,254544,0.0011945379956370516,0.0013608393850124286,0.0010420607834402138
ergosterol,21896,6610,16644,8.712813236797464e-5,2.7961902605689753e-5,6.813776667129816e-5
Dopamine,36836,32718,9618,1.46577086404216e-4,1.3840507253448675e-4,3.93744916993839e-5
digalacturonic acid,9535,23815,2277,3.794148438658377e-5,1.0074322398706527e-4,9.321659139061878e-6
dehydroabietic acid,2487,2152,1920,9.896221465069095e-6,9.103481756043018e-6,7.860160538866407e-6
cytidine,6923,13356,5028,2.7547865381050804e-5,5.649911818480973e-5,2.05837954111564e-5
cystathionine,45616,6444,41409,1.81514289646398e-4,2.725968235870874e-5,1.695215561218328e-4
citrulline,353812,383766,462703,0.0014078817486928134,0.0016234232247163592,0.001894229094695366
citric acid,111003,562002,113229,4.4170095347288496e-4,0.0023774047183362863,4.635406862788043e-4
cholesterol,69310,42327,56256,2.757969882364049e-4,1.7905347225280336e-4,2.303027037887857e-4
chenodeoxycholic acid,2741,1314,479,1.0906933267291673e-5,5.558538581524408e-6,1.9609463011026086e-6
cerotinic acid,1618,1087,1197,6.438313763764293e-6,4.59827354499013e-6,4.900318835949525e-6
cellobiose minor,5647,11904,4949,2.247043128799565e-5,5.035680614495171e-5,2.026038255565096e-5
caproic acid,29070,17326,20886,1.1567477201027689e-4,7.329318071803036e-5,8.550380886185613e-5
capric acid,12979,9012,8410,5.1645781421444225e-5,3.8122944974655985e-5,3.442914069368045e-5
campesterol,14347,4151,18732,5.708930010428079e-5,1.755973641697703e-5,7.668569125731537e-5
butylamine,182440,115431,149131,7.25961658257823e-4,4.883011164413577e-4,6.105175006883781e-4
biphenyl,4170,5697,5313,1.65931819498746e-5,2.4099691247294177e-5,2.1750537991144384e-5
biopterin,4945,2508,2292,1.9677046700750575e-5,1.0609448068845673e-5,9.383066643271772e-6
beta-sitosterol,253942,171963,158888,0.0010104810097638023,7.27445182720458e-4,6.504610352601071e-4
beta-alanyl lysine,322555,260351,365790,0.0012835045093145807,0.0011013478525406858,0.0014974833976624702
beta-alanine,381870,167406,396123,0.001519529590215495,7.081679678680936e-4,0.0016216616526757174
Benzaldehyde-4-carboxylic acid,3044,1979,6937,1.2112624905376086e-5,8.371649811900154e-6,2.8398923780268885e-5
behenic acid,44134,27475,44339,1.756171444066584e-4,1.1622591136026111e-4,1.8151648861083208e-4
azelaic acid,8816,5762,6366,3.50804537338356e-5,2.4374657006654214e-5,2.6061344786678927e-5
aspartate,1709021,3304979,1584562,0.006800502736008786,0.01398086246775339,0.0064869331790558486
asparagine,1651722,1754156,2157226,0.0065724996826404735,0.007420505178091726,0.008831324311779491
arachidic acid,102536,57483,82299,4.0800923367202447e-4,2.4316702685066023e-4,3.369184125980033e-4
arabitol,788899,424705,574716,0.003139171378195233,0.0017966051204462128,0.002352791679299555
arabinose,10767,20857,19938,4.284383454539564e-5,8.823016681495782e-5,8.162285459579083e-5
alpha-ketoglutarate,1032262,1119325,647903,0.004107556639314497,0.004735016132241102,0.0026524070800068547
alpha-aminoadipic acid,2530,15797,8361,1.0067326218988666e-5,6.682514000939199e-5,3.42285428465948e-5
allantoin,6976,7936,5704,2.7758761938207485e-5,3.357120409663447e-5,2.3351226934215615e-5
allantoic acid,51853,48243,25985,2.0633243732538312e-4,2.0407958659701827e-4,1.0637826645960602e-4
alanine,14539793,22556681,8445746,0.05785645821642999,0.09542022953549358,0.03457547887004624
adipic acid,20380,24004,12115,8.109569499722886e-5,1.0154273981043523e-4,4.959679423352422e-5
adenosine-5-monophosphate,8717,4971,8049,3.468651488178822e-5,2.1028535227365167e-5,3.2951266759029014e-5
adenosine,12981,16098,15159,5.165373978209165e-5,6.809844298735154e-5,6.205842375451867e-5
adenine,10583,6863,8582,4.211166536583283e-5,2.9032153945968043e-5,3.513328007528724e-5
aconitic acid,2208,4021,3118,8.786030154753745e-6,1.700980489825696e-5,1.2764573208429923e-5
9-myristoleate,95500,214319,15346,3.800117209143943e-4,9.066213320043603e-4,6.282397064033535e-5
6-methylcholecalciferol,1102,349,737,4.38505671672945e-6,1.4763546156408054e-6,3.0171553735127818e-6
5-methyluridine,920,1427,710,3.66084589781406e-6,6.0365559785656995e-6,2.906621865934973e-6
5-aminovaleric acid,15438,23949,17391,6.143058583744942e-5,1.0131007647559211e-4,7.119586038095086e-5
4-hydroxybutyric acid,1129,995,1262,4.492494585469646e-6,4.2090912394343875e-6,5.166418020859065e-6
3-phosphoglycerate,503,22571,13550,2.0015277028266005e-6,9.548080237715936e-5,5.547144546960406e-5
3-hydroxypropionic acid,39196,22633,45726,1.5596795196817382e-4,9.574307740916432e-5,1.8719463583344024e-4
3-hydroxykynurenine,11683,22552,12731,4.648876372191486e-5,9.54004277705772e-5,5.2118595739743864e-5
3-hydroxy-3-methylglutaric acid,3281,1806,2486,1.3055690642095579e-5,7.639817867757291e-6,1.0177270364386399e-5
"3-Aminopiperidine-2,6-dione",55204,97371,82242,2.1966667059013847e-4,4.119029377637847e-4,3.366850640820057e-4
3-aminoisobutyric acid,4378,2411,5156,1.7420851457206474e-5,1.0199114551031467e-5,2.1107806113747493e-5
"3,6-anhydro-D-galactose",14932,19467,21096,5.9417120593651686e-5,8.235012980710474e-5,8.636351392079463e-5
